"buy.day","buy.time","sell.day","sell.time"
"Friday","23","Friday","18"
"Friday","23","Friday","17"
"Saturday","5","Friday","18"
"Saturday","8","Friday","18"
"Saturday","6","Friday","18"
"Saturday","7","Friday","18"
"Friday","22","Friday","18"
"Saturday","4","Friday","18"
"Saturday","5","Friday","17"
"Saturday","8","Friday","17"
"Friday","21","Friday","18"
"Saturday","6","Friday","17"
"Saturday","7","Friday","17"
"Friday","22","Friday","17"
"Saturday","4","Friday","17"
"Friday","21","Friday","17"
"Saturday","1","Friday","18"
"Saturday","NA","Friday","18"
"Saturday","17","Friday","18"
"Saturday","1","Friday","17"
"Saturday","NA","Friday","17"
"Saturday","17","Friday","17"
"Saturday","2","Friday","18"
"Friday","23","Friday","4"
"Saturday","2","Friday","17"
"Saturday","3","Friday","18"
"Friday","23","Friday","1"
"Friday","23","Friday","19"
"Saturday","5","Friday","4"
"Sunday","14","Friday","18"
"Friday","23","Friday","6"
"Friday","23","Friday","3"
"Saturday","8","Friday","4"
"Saturday","3","Friday","17"
"Saturday","6","Friday","4"
"Saturday","7","Friday","4"
"Friday","22","Friday","4"
"Saturday","9","Friday","18"
"Saturday","4","Friday","4"
"Friday","14","Friday","4"
"Saturday","5","Friday","1"
"Saturday","8","Friday","1"
"Friday","20","Friday","18"
"Friday","21","Friday","4"
"Saturday","6","Friday","1"
"Saturday","7","Friday","1"
"Saturday","5","Friday","19"
"Friday","23","Friday","5"
"Sunday","14","Friday","4"
"Friday","23","Friday","2"
"Saturday","9","Friday","17"
"Friday","22","Friday","1"
"Sunday","14","Friday","17"
"Saturday","8","Friday","19"
"Saturday","5","Friday","6"
"Saturday","4","Friday","1"
"Saturday","5","Friday","3"
"Friday","14","Friday","1"
"Saturday","8","Friday","6"
"Saturday","8","Friday","3"
"Saturday","6","Friday","19"
"Saturday","7","Friday","19"
"Friday","20","Friday","17"
"Saturday","6","Friday","6"
"Saturday","6","Friday","3"
"Friday","22","Friday","19"
"Saturday","7","Friday","6"
"Saturday","7","Friday","3"
"Saturday","16","Friday","18"
"Saturday","4","Friday","19"
"Sunday","14","Friday","3"
"Friday","21","Friday","1"
"Friday","22","Friday","6"
"Saturday","18","Friday","18"
"Friday","22","Friday","3"
"Saturday","1","Friday","4"
"Saturday","4","Friday","6"
"Saturday","4","Friday","3"
"Friday","14","Friday","6"
"Friday","14","Friday","3"
"Saturday","NA","Friday","4"
"Friday","21","Friday","19"
"Saturday","10","Friday","18"
"Saturday","12","Friday","18"
"Friday","21","Friday","6"
"Friday","21","Friday","3"
"Saturday","5","Friday","5"
"Saturday","5","Friday","2"
"Saturday","16","Friday","17"
"Saturday","17","Friday","4"
"Sunday","14","Friday","1"
"Saturday","18","Friday","17"
"Saturday","8","Friday","5"
"Saturday","8","Friday","2"
"Saturday","1","Friday","1"
"Saturday","6","Friday","5"
"Saturday","6","Friday","2"
"Saturday","7","Friday","5"
"Saturday","7","Friday","2"
"Friday","22","Friday","5"
