"buy.day","buy.time","sell.day","sell.time"
"Thursday","1","Tuesday","1"
"Thursday","1","Tuesday","20"
"Thursday","1","Tuesday","21"
"Thursday","1","Tuesday","2"
"Thursday","1","Tuesday","NA"
"Thursday","1","Tuesday","22"
"Thursday","1","Wednesday","2"
"Thursday","1","Tuesday","19"
"Thursday","1","Tuesday","23"
"Thursday","1","Tuesday","5"
"Thursday","1","Tuesday","4"
"Thursday","1","Wednesday","3"
"Thursday","2","Tuesday","1"
"Thursday","2","Tuesday","20"
"Thursday","1","Monday","23"
"Thursday","1","Wednesday","1"
"Thursday","NA","Tuesday","1"
"Thursday","1","Wednesday","4"
"Thursday","1","Friday","23"
"Thursday","1","Friday","22"
"Thursday","1","Wednesday","NA"
"Thursday","2","Tuesday","21"
"Wednesday","9","Tuesday","1"
"Thursday","NA","Tuesday","20"
"Thursday","1","Tuesday","6"
"Thursday","1","Tuesday","18"
"Thursday","1","Monday","22"
"Thursday","2","Tuesday","2"
"Thursday","2","Tuesday","NA"
"Thursday","1","Tuesday","3"
"Thursday","1","Wednesday","5"
"Wednesday","9","Tuesday","20"
"Thursday","NA","Tuesday","21"
"Thursday","1","Monday","17"
"Thursday","2","Tuesday","22"
"Thursday","1","Saturday","3"
"Wednesday","23","Tuesday","1"
"Thursday","1","Tuesday","8"
"Thursday","1","Friday","20"
"Thursday","2","Wednesday","2"
"Thursday","NA","Tuesday","2"
"Wednesday","10","Tuesday","1"
"Thursday","NA","Tuesday","NA"
"Wednesday","9","Tuesday","NA"
"Thursday","1","Saturday","5"
"Thursday","2","Tuesday","19"
"Thursday","1","Tuesday","9"
"Thursday","1","Wednesday","6"
"Wednesday","9","Tuesday","2"
"Wednesday","23","Tuesday","20"
"Thursday","NA","Tuesday","22"
"Thursday","1","Saturday","1"
"Thursday","1","Tuesday","7"
"Thursday","1","Wednesday","7"
"Thursday","2","Tuesday","23"
"Wednesday","10","Tuesday","20"
"Thursday","1","Saturday","NA"
"Thursday","1","Tuesday","11"
"Thursday","1","Saturday","4"
"Thursday","NA","Wednesday","2"
"Thursday","1","Saturday","2"
"Wednesday","9","Tuesday","21"
"Thursday","1","Friday","21"
"Thursday","NA","Tuesday","19"
"Wednesday","23","Tuesday","NA"
"Thursday","2","Tuesday","5"
"Wednesday","20","Tuesday","1"
"Wednesday","23","Tuesday","2"
"Wednesday","9","Tuesday","19"
"Wednesday","10","Tuesday","NA"
"Thursday","2","Tuesday","4"
"Thursday","2","Wednesday","3"
"Thursday","1","Tuesday","10"
"Thursday","NA","Tuesday","23"
"Thursday","1","Friday","19"
"Thursday","1","Tuesday","17"
"Thursday","1","Monday","18"
"Wednesday","10","Tuesday","2"
"Thursday","1","Monday","20"
"Wednesday","9","Tuesday","22"
"Wednesday","23","Tuesday","21"
"Wednesday","20","Tuesday","20"
"Thursday","1","Tuesday","15"
"Thursday","NA","Tuesday","5"
"Thursday","1","Monday","21"
"Thursday","1","Monday","15"
"Thursday","3","Tuesday","1"
"Thursday","NA","Tuesday","4"
"Wednesday","10","Tuesday","21"
"Thursday","1","Monday","19"
"Thursday","2","Monday","23"
"Wednesday","23","Tuesday","19"
"Thursday","NA","Wednesday","3"
"Thursday","2","Wednesday","1"
"Thursday","1","Saturday","7"
"Wednesday","9","Wednesday","2"
"Thursday","1","Saturday","9"
"Thursday","1","Monday","7"
"Thursday","2","Wednesday","4"
"Wednesday","9","Tuesday","5"
